throughput_tok_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,tpot_mean_ms,hit_rate,req_per_s,n,pd,clients,policy
860.8708333333333,0.14944162436552233,4.093401015228437,12.720229543147205,6.419822625148136,0.8072156387768291,0.7047222222222222,2537,3:15,48,kv
843.0411111111111,0.9388832487309173,10.685575279188015,24.230483350253802,6.452881424524803,0.6112780801025626,0.6863888888888889,2471,3:15,48,rr
1672.3461111111112,0.5693823350259208,7.784382538071043,33.18578680203046,6.781613936723931,0.788079277911012,1.3872222222222221,4994,3:15,96,kv
1404.736388888889,8.447985837564147,39.755452385787066,54.14234228426409,7.15418186123586,0.6086277104959219,1.1730555555555555,4223,3:15,96,rr
2763.04,10.100539035533984,34.08481532994921,66.56649746192893,8.377872494566958,0.7810076102343321,2.3005555555555555,8282,3:15,192,kv
1473.8755555555556,60.367122131979386,101.06146192893362,116.06545553299503,9.886681455189798,0.595970928400627,1.2522222222222221,4508,3:15,192,rr
2595.0983333333334,56.44281030456614,112.72829243654837,155.6711423350254,14.107050404481033,0.772520880807572,2.2319444444444443,8035,3:15,384,kv
1370.2277777777779,140.2570885279165,220.3224937563449,255.69908827411126,15.104426229507348,0.5852182213675119,1.22,4392,3:15,384,rr
2485.9127777777776,78.67740218273593,139.64670050761418,202.8052791878172,16.763371574248758,0.7669076818490265,2.1791666666666667,7845,3:15,480,kv
1222.4,181.54587974619062,266.9425129949245,289.12892685279087,17.612346069603586,0.5742011457544399,1.1413888888888888,4109,3:15,480,rr
2201.183611111111,137.77123507613896,290.13280421319774,346.00609137055864,24.48753961858843,0.7593451143900098,2.0683333333333334,7446,3:15,768,kv
1172.921111111111,285.5354220304582,454.5524820304561,489.91463213197915,24.858785264631745,0.5713376343922991,1.1913888888888888,4289,3:15,768,rr
2010.765,182.71137172589238,377.5516410659881,434.7256852791879,29.354422611421686,0.7469381459111455,1.9508333333333334,7023,3:15,960,kv
780.0294444444445,418.18494999999893,552.4146623857894,600.784671624368,29.3520289855091,0.5425839220300511,0.9583333333333334,3450,3:15,960,rr
1642.8516666666667,232.11327213197728,610.9781405076124,659.1512690355319,41.26428409733797,0.7489025742646637,1.9633333333333334,7068,3:15,1440,kv
322.9036111111111,724.6030241624312,897.7521928933966,918.7665497969533,38.055965647256585,0.40593835811667367,0.6630555555555555,2387,3:15,1440,rr
1346.381111111111,302.22025680203024,666.0468036548208,714.9705774111668,43.51154475381743,0.7424088903248871,1.7658333333333334,6357,3:15,1536,kv
302.67,776.2162446700488,941.1805009137095,986.6693062944155,39.70226215644739,0.3855770793824896,0.6569444444444444,2365,3:15,1536,rr
