throughput_tok_s,ttft_p50_s,ttft_p95_s,ttft_p99_s,tpot_mean_ms,hit_rate,req_per_s,pd,conc,policy,sla_pass
1655.189640201362,0.3248730964467086,3.7262944162434906,7.446091370558406,6.370000000000225,0.6163460039802625,1.1380782022496725,3:15,12,rr,True
1651.607655011053,0.28913705583750016,4.129137055837418,7.491573604060932,6.370000000000225,0.6292388415386788,1.1356152945762197,3:15,12,ll,True
1744.2762084136657,0.12670050761425955,1.244894568527343,3.758781725888184,6.370000000000225,0.832375996748608,1.1993325014146414,3:15,12,kv-nvda,True
1744.2762084136657,0.12670050761425955,1.244894568527343,3.758781725888184,6.370000000000225,0.832375996748608,1.1993325014146414,3:15,12,kv-t-c0.5,True
1747.213191012265,0.12887192893253996,1.1565482233504554,3.245482233502571,6.370000000000225,0.8371465155131428,1.2013519170723217,3:15,12,kv-t-c0.6,True
1745.8821152056753,0.12670050761425955,1.1922842639594364,3.074644213198553,6.370000000000225,0.8389702890585226,1.2004366936295037,3:15,12,kv-t-c0.7,True
1746.9640422727189,0.12670050761425955,1.1727918781725748,2.7614213197971367,6.370000000000225,0.8415966416278138,1.2011806069440387,3:15,12,kv-t-c0.8,True
1746.8237755352477,0.12670050761425955,1.1565482233504554,2.8101522842639497,6.370000000000225,0.8432604470481545,1.2010841620941317,3:15,12,kv-t-c0.9,True
1746.5453481575732,0.12670050761425955,1.1552195939079866,2.935097461927853,6.370000000000225,0.8434763241469945,1.2008927205083797,3:15,12,kv-t-c1.0,True
1747.213191012265,0.12887192893253996,1.1565482233504554,3.245482233502571,6.370000000000225,0.8371465155131428,1.2013519170723217,3:15,12,kv-s1.5-c0.8,True
1747.2171311548059,0.12670050761425955,1.1403045685278812,3.245482233502571,6.370000000000225,0.8446259952082587,1.2013546262424557,3:15,12,kv-s3.0-c0.8,True
2837.437841897932,0.441827411167651,5.852608527918619,9.899493857868492,6.6670000000002885,0.6163460039802625,1.950970498890712,3:15,24,rr,False
2769.9807710798214,0.665989847715764,5.8548704568531775,9.18349279187828,6.66700000000028,0.6142534109608516,1.904588247563689,3:15,24,ll,False
3046.3200875510497,0.14619289340112118,1.6601015228427514,4.652182741116803,6.664600000000282,0.8204397731419223,2.09459412052349,3:15,24,kv-nvda,True
3046.3200875510497,0.14619289340112118,1.6601015228427514,4.652182741116803,6.664600000000282,0.8204397731419223,2.09459412052349,3:15,24,kv-t-c0.5,True
3066.3968491552437,0.14619289340112118,1.6059522335023075,4.129137055837646,6.67020000000029,0.8292345970206678,2.1083985355575985,3:15,24,kv-t-c0.6,True
3053.3478934565683,0.14294416243649266,1.9914720812182622,3.8731030456857525,6.674000000000291,0.8311302535323633,2.0994263116612615,3:15,24,kv-t-c0.7,True
3054.7461307829017,0.13319796954317553,1.5823705076143142,4.129137055837646,6.67640000000029,0.8360835604112435,2.1003877141398792,3:15,24,kv-t-c0.8,True
3059.5065489569633,0.13644670050757668,1.4712851269032399,3.521810659898847,6.661600000000279,0.8393878948628325,2.1036608908357133,3:15,24,kv-t-c0.9,True
3058.5908816030505,0.1396954314720915,1.335228426395929,3.602842639593973,6.6708000000002805,0.8395321171952499,2.103031294666979,3:15,24,kv-t-c1.0,True
3066.3968491552437,0.14619289340112118,1.6059522335023075,4.129137055837646,6.67020000000029,0.8292345970206678,2.1083985355575985,3:15,24,kv-s1.5-c0.8,True
3060.1334408586977,0.14294416243660635,1.3807106598985683,3.723045685279203,6.666800000000284,0.8422100429403738,2.1040919302714385,3:15,24,kv-s3.0-c0.8,True
4453.804720050742,13.401251573608306,31.513196345177676,38.03918319797049,9.169999999999872,0.6163460039802625,3.062354878169617,3:15,120,rr,False
3547.4102738144384,24.27375274111796,42.61001329949249,48.12975218273914,9.169999999999872,0.6171280450137981,2.439134591594958,3:15,120,ll,False
5810.685437228082,3.2861418274110292,13.03457091370558,15.803651725887335,9.169999999999872,0.8023697646095284,3.9953213067684397,3:15,120,kv-nvda,False
5810.685437228082,3.2861418274110292,13.03457091370558,15.803651725887335,9.169999999999872,0.8023697646095284,3.9953213067684397,3:15,120,kv-t-c0.5,False
6115.297859879875,1.7656488324857946,11.224452335025376,14.992205583755094,9.169999999999872,0.8170717709201681,4.204767251773445,3:15,120,kv-t-c0.6,False
6168.675286157266,1.501901319796957,9.901375989848475,13.663096142131963,9.169999999999872,0.8225506221527784,4.241468596358406,3:15,120,kv-t-c0.7,False
6257.660440555769,1.1186623857861377,7.46270517766493,9.590648020304457,9.169999999999872,0.8279623826168275,4.30265316523502,3:15,120,kv-t-c0.8,False
6262.730852070992,1.0588416751268142,7.422283350253679,10.195705736040622,9.169999999999872,0.8325236420794213,4.306139487697266,3:15,120,kv-t-c0.9,False
6282.341499447237,0.9562216243657531,7.754955532994586,10.064017918781246,9.169999999999872,0.8345384189352969,4.3196234110912,3:15,120,kv-t-c1.0,False
6115.297859879875,1.7656488324857946,11.224452335025376,14.992205583755094,9.169999999999872,0.8170717709201681,4.204767251773445,3:15,120,kv-s1.5-c0.8,False
6364.037267920952,0.7953626903557733,6.084429999999543,8.753951928933475,9.169999999999872,0.8399864631823434,4.375795931180597,3:15,120,kv-s3.0-c0.8,False
1378.1364257244725,2.6802030456851753,7.459086294416238,10.594111675126896,6.565800000000258,0.28331199284000014,0.9475814660442717,9:9,12,rr,False
1547.044062447101,0.3963451776648981,5.5943147208122355,8.414213197969502,6.566600000000263,0.5054433661492386,1.0637192758025202,9:9,12,ll,False
1695.9328599086439,0.12020304568522988,1.0428426395938004,2.751675126903592,6.564000000000276,0.8394447166362058,1.166092496873149,9:9,12,kv-nvda,True
1695.9328599086439,0.12020304568522988,1.0428426395938004,2.751675126903592,6.564000000000276,0.8394447166362058,1.166092496873149,9:9,12,kv-t-c0.5,True
1695.4200485982954,0.12020304568522988,1.0363451776649981,2.7614213197971367,6.557400000000259,0.8401925276857816,1.165739897170976,9:9,12,kv-t-c0.6,True
1698.2004849694042,0.12345177664974472,1.0655837563451769,2.4365482233502007,6.571600000000269,0.8418686559003479,1.1676516744983862,9:9,12,kv-t-c0.7,True
1697.2654441562197,0.12020304568522988,1.039593908629513,2.4365482233502007,6.5748000000002795,0.8445479508448303,1.1670087574924717,9:9,12,kv-t-c0.8,True
1697.8711903065125,0.12020304568522988,1.0233502538071662,2.511269035532905,6.558400000000261,0.8448690280943735,1.1674252574952515,9:9,12,kv-t-c0.9,True
1697.3362728121672,0.12020304568522988,1.0363451776647707,2.417055837563339,6.559000000000265,0.8449135270735212,1.1670574579842283,9:9,12,kv-t-c1.0,True
1695.4200485982954,0.12020304568522988,1.0363451776649981,2.7614213197971367,6.557400000000259,0.8401925276857816,1.165739897170976,9:9,12,kv-s1.5-c0.8,True
1697.3362728121672,0.12020304568522988,1.0363451776647707,2.417055837563339,6.559000000000265,0.8449135270735212,1.1670574579842283,9:9,12,kv-s3.0-c0.8,True
2342.8171367908985,2.969151472081876,9.243639340101254,12.7739203045669,7.053000000000136,0.28331199284000014,1.61087832504458,9:9,24,rr,False
2489.4299626403345,1.994720812182777,6.877563451776609,9.960609137055826,7.068200000000125,0.33140306650452306,1.7116866295535254,9:9,24,ll,False
2924.3487540355263,0.12345177664974472,1.156548223350228,3.7912690355329914,7.072800000000134,0.8308653134565142,2.0107288566275328,9:9,24,kv-nvda,True
