point,metric,real,simulation,error_pct
agg6-rr-c96,total_tokens_s_gpu,6137.320473879631,6105.687159400543,-0.5154254957634885
agg6-rr-c96,output_tokens_s_gpu,67.11020337655773,66.31249999999999,-1.1886469365646302
agg6-rr-c96,requests_s,1.7474110638031493,1.7433242506811988,-0.23387817592591675
agg6-rr-c96,ttft_p95_s,12.557413355399982,7.533730160349993,-40.005716566538666
agg6-rr-c96,itl_mean_ms,19.466066356730504,20.405392310274944,4.8254533624337625
agg6-rr-c96,itl_p50_ms,12.117948179516686,19.279999999999998,59.10284244810959
agg6-rr-c96,mean_input_tokens,83371.93778262903,83142.87589871835,-0.2747469832210192
agg6-rr-c96,mean_output_tokens,921.7321066583502,912.9110659581119,-0.957006991133047
agg6-rr-c96,cached_input_percent,69.7303118854385,73.93896382226146,6.035613240533677
agg6-kv-c192,total_tokens_s_gpu,9654.845403825839,6983.445776566757,-27.669004686501875
agg6-kv-c192,output_tokens_s_gpu,96.80592651877136,69.71706403269754,-27.982648852414115
agg6-kv-c192,requests_s,2.593730234677929,1.9822888283378743,-23.57382422293346
agg6-kv-c192,ttft_p95_s,11.65726274620001,1.7873631505999985,-84.66738556456886
agg6-kv-c192,itl_mean_ms,30.605941456514323,51.42321919692397,68.01711285368349
agg6-kv-c192,itl_p50_ms,23.85452343548116,33.12,38.84159157309925
agg6-kv-c192,mean_input_tokens,88441.3283958399,83706.01030927835,-5.3541914989873485
agg6-kv-c192,mean_output_tokens,895.7532303813426,844.079587628866,-5.768736410861508
agg6-kv-c192,cached_input_percent,74.38365790099185,93.15441061128318,25.235049256754884
