model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,encoder_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)cp,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,power_w,tokens/s/gpu_cluster
/tmp/n3u,96000,900,92000,432,12.735,1,8,1,9,72,6,947.306,34.711,32152.495,0.0,12.735,0.227,11461.176,204.664,28.809,15.201,2.307,56,1,1,8,4,2,1,tp1pp1dp8etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,198.157,sglang,0.5.14,gb300,1,1,8,4,2,tp1pp1dp8etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,277.281,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,159.1831111111111
/tmp/n3u,96000,900,92000,360,12.298,1,4,1,15,60,6,526.901,29.516,27061.785,0.0,12.298,0.22,11068.65,197.654,33.88,13.665,2.261,56,2,1,4,4,2,1,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,162.805,sglang,0.5.14,gb300,2,1,4,4,2,tp2pp1dp4etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,232.254,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,153.7308888888889
/tmp/n3u,96000,900,92000,240,9.914,1,1,2,15,30,8,313.562,24.771,22582.691,0.0,9.914,0.138,8922.528,123.924,40.37,5.74,1.347,72,4,1,1,4,1,1,tp4pp1dp1etp4ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,267.577,sglang,0.5.14,gb300,4,1,2,2,4,tp4pp1dp2etp2ep4,bfloat16,bfloat16,bfloat16,bfloat16,half,217.131,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,123.924
/tmp/n3u,96000,900,92000,224,9.254,1,1,2,16,32,7,313.562,24.763,22575.499,0.0,9.254,0.145,8328.852,130.138,40.384,5.74,1.437,64,4,1,1,4,1,1,tp4pp1dp1etp4ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,267.577,sglang,0.5.14,gb300,4,1,2,4,2,tp4pp1dp2etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,222.121,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,115.67822222222223
/tmp/n3u,96000,900,92000,126,7.591,1,1,1,18,18,7,213.41,16.736,15259.074,0.0,7.591,0.119,6831.54,106.743,59.751,8.434,1.196,64,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,8,1,tp8pp1dp1etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,224.515,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,94.88266666666667
/tmp/n3u,96000,900,92000,120,7.591,1,1,1,15,15,8,213.41,15.93,14534.48,0.0,7.591,0.105,6831.54,94.882,62.776,8.434,1.047,72,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,2,4,tp8pp1dp1etp2ep4,bfloat16,bfloat16,bfloat16,bfloat16,half,209.545,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,94.882
/tmp/n3u,96000,900,92000,112,7.235,1,1,1,14,14,8,213.41,15.835,14449.075,0.0,7.235,0.1,6511.392,90.436,63.149,8.434,0.983,72,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,1,8,tp8pp1dp1etp1ep8,bfloat16,bfloat16,bfloat16,bfloat16,half,204.554,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,90.436
/tmp/n3u,96000,900,92000,104,7.191,1,1,1,13,13,8,213.41,14.799,13517.711,0.0,7.191,0.1,6471.648,89.884,67.574,8.434,0.977,72,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,4,2,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,199.564,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,89.884
/tmp/n3u,96000,900,92000,96,7.029,1,1,1,12,12,8,213.41,13.983,12784.127,0.0,7.029,0.098,6325.92,87.86,71.516,8.434,0.955,72,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,8,1,tp8pp1dp1etp8ep1,bfloat16,bfloat16,bfloat16,bfloat16,half,194.574,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,87.86
/tmp/n3u,96000,900,92000,88,6.477,1,1,1,11,11,8,213.41,13.902,12711.308,0.0,6.477,0.09,5829.12,80.96,71.932,8.434,0.88,72,8,1,1,4,2,1,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,139.991,sglang,0.5.14,gb300,8,1,1,4,2,tp8pp1dp1etp4ep2,bfloat16,bfloat16,bfloat16,bfloat16,half,189.584,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,80.96
