model,isl,osl,prefix,concurrency,request_rate,(p)bs,(p)global_bs,(p)workers,(d)bs,(d)global_bs,(d)workers,ttft,tpot,request_latency,encoder_latency,seq/s,seq/s/gpu,tokens/s,tokens/s/gpu,tokens/s/user,(p)seq/s/worker,(d)seq/s/worker,num_total_gpus,(p)tp,(p)pp,(p)dp,(p)moe_tp,(p)moe_ep,(p)cp,(p)parallel,(p)gemm,(p)kvcache,(p)fmha,(p)moe,(p)comm,(p)memory,(p)backend,(p)version,(p)system,(d)tp,(d)pp,(d)dp,(d)moe_tp,(d)moe_ep,(d)parallel,(d)gemm,(d)kvcache,(d)fmha,(d)moe,(d)comm,(d)memory,(d)backend,(d)version,(d)system,(e)workers,(e)tp,(e)pp,(e)parallel,(e)memory,power_w,tokens/s/gpu_cluster
/tmp/n3u-fp4,96000,900,0,256,8.996,1,2,28,16,128,2,10081.705,28.134,35374.171,0.0,8.996,0.125,8096.76,112.455,35.544,0.357,5.061,72,1,1,2,1,2,1,tp1pp1dp2etp1ep2,fp8_static,fp8,fp8,nvfp4,half,199.809,sglang,0.5.14,gb300,1,1,8,8,1,tp1pp1dp8etp8ep1,fp8_static,fp8,fp8,nvfp4,half,151.66,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,112.455
/tmp/n3u-fp4,96000,900,0,96,3.856,1,2,12,12,96,1,10081.705,24.41,32026.295,0.0,3.856,0.12,3470.04,108.439,40.966,0.357,4.375,32,1,1,2,1,2,1,tp1pp1dp2etp1ep2,fp8_static,fp8,fp8,nvfp4,half,199.809,sglang,0.5.14,gb300,1,1,8,2,4,tp1pp1dp8etp2ep4,fp8_static,fp8,fp8,nvfp4,half,131.699,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,96.39022222222222
/tmp/n3u-fp4,96000,900,0,40,2.196,1,1,8,10,40,1,5901.73,17.872,21968.658,0.0,2.196,0.092,1976.4,82.35,55.952,0.305,2.49,24,2,1,1,1,2,1,tp2pp1dp1etp1ep2,fp8_static,fp8,fp8,nvfp4,half,173.553,sglang,0.5.14,gb300,2,1,4,4,2,tp2pp1dp4etp4ep2,fp8_static,fp8,fp8,nvfp4,half,81.406,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,82.35
/tmp/n3u-fp4,96000,900,0,104,6.267,1,1,23,8,8,13,5901.73,16.99,21175.74,0.0,6.267,0.087,5640.336,78.338,58.859,0.305,0.524,72,2,1,1,1,2,1,tp2pp1dp1etp1ep2,fp8_static,fp8,fp8,nvfp4,half,173.553,sglang,0.5.14,gb300,2,1,1,2,1,tp2pp1dp1etp2ep1,fp8_static,fp8,fp8,nvfp4,half,177.666,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,78.338
/tmp/n3u-fp4,96000,900,0,96,5.49,1,1,20,8,32,3,5901.73,16.869,21066.961,0.0,5.49,0.086,4941.0,77.203,59.282,0.305,2.11,64,2,1,1,1,2,1,tp2pp1dp1etp1ep2,fp8_static,fp8,fp8,nvfp4,half,173.553,sglang,0.5.14,gb300,2,1,4,4,2,tp2pp1dp4etp4ep2,fp8_static,fp8,fp8,nvfp4,half,76.416,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,68.62488888888889
/tmp/n3u-fp4,96000,900,0,21,1.347,1,1,5,7,7,3,5901.73,15.962,20251.568,0.0,1.347,0.084,1212.192,75.762,62.649,0.305,0.488,16,2,1,1,1,2,1,tp2pp1dp1etp1ep2,fp8_static,fp8,fp8,nvfp4,half,173.553,sglang,0.5.14,gb300,2,1,1,2,1,tp2pp1dp1etp2ep1,fp8_static,fp8,fp8,nvfp4,half,175.171,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,67.344
/tmp/n3u-fp4,96000,900,0,78,5.216,1,1,19,6,6,13,5901.73,15.187,19554.843,0.0,5.216,0.081,4693.95,73.343,65.848,0.305,0.439,64,2,1,1,1,2,1,tp2pp1dp1etp1ep2,fp8_static,fp8,fp8,nvfp4,half,173.553,sglang,0.5.14,gb300,2,1,1,1,2,tp2pp1dp1etp1ep2,fp8_static,fp8,fp8,nvfp4,half,172.676,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,65.19377777777778
/tmp/n3u-fp4,96000,900,0,60,5.16,1,1,13,12,12,5,4081.478,11.828,14714.85,0.0,5.16,0.072,4643.73,64.496,84.548,0.441,1.129,72,4,1,1,2,2,1,tp4pp1dp1etp2ep2,fp8_static,fp8,fp8,nvfp4,half,95.739,sglang,0.5.14,gb300,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8_static,fp8,fp8,nvfp4,half,112.359,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,64.496
/tmp/n3u-fp4,96000,900,0,42,4.366,1,1,11,6,6,7,4081.478,9.75,12846.728,0.0,4.366,0.061,3929.31,54.574,102.564,0.441,0.685,72,4,1,1,2,2,1,tp4pp1dp1etp2ep2,fp8_static,fp8,fp8,nvfp4,half,95.739,sglang,0.5.14,gb300,4,1,1,1,4,tp4pp1dp1etp1ep4,fp8_static,fp8,fp8,nvfp4,half,97.389,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,54.574
/tmp/n3u-fp4,96000,900,0,32,3.849,1,1,10,4,4,8,4107.998,8.502,11751.296,0.0,3.849,0.053,3464.352,48.116,117.623,0.438,0.523,72,4,1,1,1,4,1,tp4pp1dp1etp1ep4,fp8_static,fp8,fp8,nvfp4,half,95.739,sglang,0.5.14,gb300,4,1,1,4,1,tp4pp1dp1etp4ep1,fp8_static,fp8,fp8,nvfp4,half,92.399,sglang,0.5.14,gb300,0,0,0,,0.0,0.0,48.116
