id,arm,policy,clients,gpus,recipe_point,sim_total_tokens_s_gpu,sim_output_tokens_s_gpu,sim_requests_s,sim_goodput_requests_s,sim_ttft_p95_s,sim_ttft_p50_s,sim_ttft_p99_s,sim_itl_mean_ms,sim_itl_p50_ms,sim_cached_input_percent,sim_mean_input_tokens,sim_mean_output_tokens,sim_successful_requests,sim_request_errors,sim_goodput_percent
disagg4-12-kv-c16,4:12,kv,16,64,False,294.9887167008196,3.221033982240437,0.17295081967213113,0.17185792349726775,1.3345786798,0.10071066,3.188694416439994,6.370000000001191,6.37,94.87458837075485,107967.87045813586,1191.9352290679305,633,0,99.36808846761454
disagg4-12-rr-c16,4:12,rr,16,64,False,285.1883410177595,3.0667264344262293,0.16912568306010928,0.15956284153005462,5.1141522842,0.44832487299999996,8.660661928200012,6.382317666167626,6.37,78.37946417634349,106759.55896607431,1160.5008077544426,619,0,94.34571890145395
disagg8-8-kv-c16,8:8,kv,16,64,False,294.9887167008196,3.221033982240437,0.17295081967213113,0.17185792349726775,1.3345786798,0.10071066,3.188694416439994,6.370633914421023,6.37,94.87458837075485,107967.87045813586,1191.9352290679305,633,0,99.36808846761454
disagg8-8-rr-c16,8:8,rr,16,64,False,276.49896260245896,3.01166325136612,0.16502732240437157,0.14699453551912567,7.844710660150008,1.076954315,10.877563451780002,6.394584717590077,6.37,62.64823744434367,106062.35927152318,1167.9668874172185,604,0,89.0728476821192
disagg12-4-kv-c16,12:4,kv,16,64,False,294.9887167008196,3.221033982240437,0.17295081967213113,0.17185792349726775,1.3163857867999993,0.097461929,3.188694416439994,6.399793977796287,6.37,94.87458837075485,107967.87045813586,1191.9352290679305,633,0,99.36808846761454
disagg12-4-rr-c16,12:4,rr,16,64,False,269.3552552937158,2.9631275614754093,0.16092896174863386,0.13606557377049178,8.5266192896,1.7023350249999998,11.07947208204,6.455178875627319,6.37,51.55225445664059,105941.75212224109,1178.409168081494,589,0,84.55008488964346
disagg4-12-kv-c48,4:12,kv,48,64,False,1274.5943860997265,12.341333674863387,0.792622950819672,0.787431693989071,1.5139086290000001,0.094213198,4.164873096,6.375515339164509,6.37,94.77350191127677,101920.08100654946,996.4956911409859,2901,0,99.34505342985177
disagg4-12-rr-c48,4:12,rr,48,64,False,1258.7171746926228,12.188968579234972,0.7825136612021857,0.7401639344262294,5.165482234,0.363857868,9.611630456609985,6.470558659189722,6.37,82.52137262097223,101950.68680167598,996.9078212290502,2864,0,94.58798882681565
disagg8-8-kv-c48,8:8,kv,48,64,False,1273.9497054303276,12.336868169398906,0.7920765027322403,0.7857923497267758,1.498622507799999,0.094213198,4.435297461439999,6.453201103470751,6.37,94.74347964264818,101938.66540186272,996.822352535357,2899,0,99.20662297343912
disagg8-8-rr-c48,8:8,rr,48,64,False,1251.6833247950817,12.08260331284153,0.7775956284153005,0.7092896174863387,6.6225380715,0.7098477154999999,11.073137055850022,6.581384399224524,6.37,69.85708317984643,102025.32431482783,994.4585382993675,2846,0,91.21574139142655
disagg12-4-kv-c48,12:4,kv,48,64,False,1269.7602715163932,12.259076161202184,0.789071038251366,0.7844262295081966,1.5334435642000006,0.094213198,4.171208121450005,6.822631579293806,6.77,94.84211345386775,101993.44875346261,994.3095567867036,2888,0,99.41135734072023
disagg12-4-rr-c48,12:4,rr,48,64,False,1240.1383111338796,11.978381147540983,0.7718579234972677,0.6762295081967212,7.974674184799993,1.143553299,11.552487309999998,6.9835221242626035,6.77,60.03879351281122,101835.10867256638,993.209203539823,2825,0,87.61061946902656
