kind,id,role,hardware_id,policy,clients,total_tok_s_gpu,output_tok_s_gpu,requests_s,input_tokens_p50,output_tokens_p50,ttft_p95_s,e2e_p95_s,e2e_normalized_interactivity_p90_tps,e2e_normalized_latency_p90_ms_per_token,interactivity_valid_requests,interactivity_excluded_successful_requests,ttft_slo_pass,interactivity_slo_pass,combined_slo_pass,itl_mean_ms,itl_p90_ms,cache_pct,successful_requests,request_errors,router_flags
hardware,n3u-agg-ns-agentx-kv-c48,,,kv,48,3334.352078535043,32.27231361619974,0.776775689955147,84675.0,380.0,3.8313594374,28.972178417600006,51.82566078052918,19.295460683748743,2843,0,True,True,True,8.19740506018796,9.854888931803528,86.20643411827723,2843,0,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
hardware,n3u-agg-ns-agentx-kv-c96,,,kv,96,6843.880810963666,75.10970041208905,1.9065568234288357,70222.0,423.0,5.357950530349997,47.828926136249954,29.50299271411385,33.89486652049413,6978,0,True,True,True,16.103767276794642,23.47700212661752,79.19202693348505,6978,0,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
hardware,n3u-agg-ns2-agentx-rr-c48,,,rr,48,3250.084808233436,31.324331101422217,0.7581965129781321,85200.0,375.0,8.271755809899995,39.88388018199996,40.534940066621154,24.67007471471405,2775,0,True,True,True,9.312629222436396,10.973553954248855,74.11159579333085,2775,0,--router-mode round-robin
hardware,n3u-agg-ns2-agentx-rr-c96,,,rr,96,6137.320473879631,67.11020337655773,1.7474110638031493,68825.0,411.0,12.557413355399982,68.93237231379999,17.72597782640481,56.414377237366786,6413,0,False,False,False,19.466066356730504,29.591078272281962,69.7303118854385,6413,0,--router-mode round-robin
hardware,n3u-agg-ns-agentx-kv-c192,,,kv,192,9654.845403825839,96.80592651877136,2.593730234677929,73637.0,388.0,11.65726274620001,102.10048510200001,13.536680071673597,73.87335703475526,9519,0,False,False,False,30.605941456514323,50.598490402769634,74.38365790099185,9519,3,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
hardware,n3u-agg-ns2-agentx-rr-c192,,,rr,192,6802.289469097507,71.37809353845007,1.9634866387349532,66082.0,392.0,60.081522396249994,155.64784825750002,3.8961262229768185,256.66519583032255,7206,0,False,False,False,48.19882407837417,81.96600093503334,56.171456051053056,7206,3,--router-mode round-robin
hardware,n3u-agg-ns-agentx-kv-c384,,,kv,384,8257.49339510182,77.74037906153164,2.198634579981075,75736.0,383.0,119.43931245299999,229.54212504679992,1.1371830244311,879.3659230890042,8069,0,False,False,False,46.989748957394234,79.05453162962718,60.8059379427452,8069,7,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
hardware,n3u-agg-ns2-agentx-rr-c384,,,rr,384,5076.007624767205,49.64641718662606,1.3607605858129257,76569.0,402.5,494.981526287,563.9862737567997,0.6059020449554375,1650.4317955776949,4994,0,False,False,False,71.06622680930381,126.39467245289572,30.122955847243254,4994,14,--router-mode round-robin
hardware,n3u-agg-ns-agentx-kvs3c08-c192,,,kvs3c08,192,11011.921190783736,108.86538221497428,2.911987237864478,75415.0,392.0,6.331731673199994,78.40733675509993,19.77954810155428,50.557272333305725,10687,0,True,False,False,24.13803047107743,37.322807499444444,81.8470949149697,10687,3,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs --router-prefill-load-scale 3.0 --router-kv-overlap-score-credit 0.8
hardware,n3u-agg-ns2-agentx-kvt05-c192,,,kvt05,192,7816.373015491913,79.4887205626071,2.2068105729688257,69276.0,386.0,22.148398715199992,142.0942973317999,7.03151806842581,142.21680016586748,8099,0,False,False,False,44.98281860890775,77.7043969944906,60.992475087568884,8099,3,--router-mode kv --router-temperature 0.5 --router-queue-policy fcfs
hardware,n3u-agg-ns-agentx-kvs2c08-c192,,,kvs2c08,192,10240.793595581146,102.43347907529873,2.74822639635012,73443.0,393.0,8.11382578225,92.25105877725,16.147698879860364,61.928328453487204,10086,0,True,False,False,28.831646336839476,44.81036170826493,77.49422831549904,10086,3,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs --router-prefill-load-scale 2.0 --router-kv-overlap-score-credit 0.8
hardware,n3u-agg-ns2-agentx-kvs3c08-c96,,,kvs3c08,96,7045.363834965239,78.35106620589502,1.9696711739879866,69912.0,429.0,3.1121206455999975,40.73554259579998,39.49296181617501,25.320967433504393,7209,0,True,True,True,13.340415370525843,18.299537094533637,86.24548126318845,7209,0,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs --router-prefill-load-scale 3.0 --router-kv-overlap-score-credit 0.8
native_v10,agg-rr-c192-calibrated-v10,calibration,n3u-agg-ns2-agentx-rr-c192,rr,192,6829.794567128188,71.6507339676267,1.9795629812383762,65891.0,389.0,53.96444340439999,155.02887075339973,3.7086015325026667,269.6434198270884,7265,0,False,False,False,44.63301629083989,84.15976504403747,,7265,3,--router-mode round-robin
native_v10,agg-rr-c384-calibrated-v10,calibration,n3u-agg-ns2-agentx-rr-c384,rr,384,5324.211245447474,50.961501117401575,1.4384186630693998,75581.0,400.0,305.05714900259983,396.57460455149993,0.6068765162846643,1647.7816708447742,5279,0,False,False,False,69.16911551808069,120.8018150452818,,5279,11,--router-mode round-robin
native_v10,agg-kv-c192-calibrated-v10,calibration,n3u-agg-ns-agentx-kv-c192,kv,192,10182.398378165768,101.55689029313379,2.7392364132321987,73311.0,390.0,8.714692493599994,91.34901535619997,15.743116279626296,63.51982556935911,10053,0,True,False,False,27.678243577188375,46.2396252095949,,10053,3,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
native_v10,agg-kv-c384-calibrated-v10,calibration,n3u-agg-ns-agentx-kv-c384,kv,384,9433.301922975937,90.59976656760249,2.489100018706843,76722.0,383.0,94.31513748719998,200.33852942139987,1.415717881320929,706.3554209451354,9135,0,False,False,False,40.84914128955416,68.72881446622735,,9135,4,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
native_v10,agg-kv-c48-holdout-v10,holdout,n3u-agg-ns-agentx-kv-c48,kv,48,3321.1313286330005,32.04466882561738,0.7745900840324962,84675.0,378.0,3.5154489864999743,31.238557110599977,56.47137533948666,17.708086512650716,2835,0,True,True,True,8.467550305100145,9.685807192305582,,2835,0,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
native_v10,agg-kv-c96-holdout-v10,holdout,n3u-agg-ns-agentx-kv-c96,kv,96,6842.304419466418,75.27819703329662,1.9059941464413097,70390.0,427.0,4.695367354499999,46.44791811899991,32.63007641135964,30.646572425796283,6995,0,True,True,True,15.680367535762114,22.380234003402467,,6995,0,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs
native_v10,agg-rr-c48-holdout-v10,holdout,n3u-agg-ns2-agentx-rr-c48,rr,48,3231.795870559123,30.906166679257183,0.7550406392576194,85196.0,375.0,8.474468373,41.1033744715,38.79970985145865,25.773388611111113,2771,0,True,True,True,9.66355278771305,11.467371792945661,,2771,0,--router-mode round-robin
native_v10,agg-rr-c96-holdout-v10,holdout,n3u-agg-ns2-agentx-rr-c96,rr,96,6121.406552662386,66.32506263999564,1.7468660416614024,68568.0,407.0,12.257061075,69.754764254,15.534160848779162,64.37425295995892,6411,0,False,False,False,20.69852261460162,34.572631763750465,,6411,0,--router-mode round-robin
native_v10,agg-kvs3c08-c192-holdout-v10,holdout,n3u-agg-ns-agentx-kvs3c08-c192,kvs3c08,192,11378.71430029021,112.94742539581392,3.0013618634812502,75433.0,393.0,5.3385312057999945,73.46667473729997,22.535433043531338,44.374563296312786,11015,0,True,True,True,24.316009061363882,34.842547178410534,,11015,2,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs --router-prefill-load-scale 3.0 --router-kv-overlap-score-credit 0.8
native_v10,agg-kvt05-c192-holdout-v10,holdout,n3u-agg-ns2-agentx-kvt05-c192,kvt05,192,8017.555434542184,81.38574221995543,2.24250592816191,70278.0,386.0,20.477727097449996,135.67262655389982,7.446840546489803,134.28513659680377,8230,0,False,False,False,43.37127125306346,77.27461284804326,,8230,3,--router-mode kv --router-temperature 0.5 --router-queue-policy fcfs
native_v10,agg-kvs2c08-c192-holdout-v10,holdout,n3u-agg-ns-agentx-kvs2c08-c192,kvs2c08,192,10848.010794874372,107.3465187740667,2.8871938799375845,74677.5,392.0,6.397918703499999,82.34375372024999,19.10365566463121,52.34600212415966,10596,0,True,False,False,26.85532749537594,40.38278432685082,,10596,3,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs --router-prefill-load-scale 2.0 --router-kv-overlap-score-credit 0.8
