id,policy,clients,summary,gcs_summary,gcs_console,architecture,input_root,campaign,artifact,is_new,new_since_previous_report,total_tok_s_gpu,output_tok_s_gpu,requests_s,input_tokens_p50,output_tokens_p50,ttft_p95_s,itl_mean_ms,itl_p90_ms,cache_pct,successful_requests,request_errors,gpus,fleet,router_flags,ttft_p50_s,ttft_p99_s,submission_valid,benchmark_id,itl_p50_ms,output_tokens_p99,e2e_normalized_interactivity_p90_tps,e2e_normalized_latency_p90_ms_per_token,e2e_p95_s,interactivity_valid_requests,interactivity_excluded_successful_requests,ttft_slo_pass,interactivity_slo_pass,combined_slo_pass,request_metrics_file,request_metrics_source_sha256,warmup_requests,warmup_errors,request_error_rate_pct,warmup_wall_s,client_inflight_mean,client_inflight_peak,ttft_q1_p50_s,ttft_q4_p50_s,source_trace_count,turn_index_p50,post_knee,eligible,clients_per_gpu,total_tok_s_fleet,output_tok_s_fleet
n3u-agg-ns-agentx-kv-c48,kv,48,hardware/n3u-agg-ns-agentx-kv-c48.json,gs://alisachen-models/perf/1789545801_alisachen-n3u-agg-ns-agentx-kv-c48/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c48_20260916_080341/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789545801_alisachen-n3u-agg-ns-agentx-kv-c48,agg,agentx-agg-kv-rr-data,agg-20260916,1789545801_alisachen-n3u-agg-ns-agentx-kv-c48,False,False,3334.352078535043,32.27231361619974,0.776775689955147,84675.0,380.0,3.8313594374,8.19740506018796,9.854888931803528,86.20643411827723,2843,0,24,n3u-agg-ns,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs,0.41883234799999997,7.720503355179993,True,ca2226c0c51a,7.302561839506172,7898.019999999991,51.82566078052918,19.295460683748743,28.972178417600006,2843,0,True,True,True,request-metrics/n3u-agg-ns-agentx-kv-c48.csv.gz,9e23f77e2e3fec8be291bd6a50b5d1c70ab23ac62170782738bc1ec152da53cf,46,0,0.0,,,,,,,,False,True,2.0,80024.44988484103,774.5355267887937
n3u-agg-ns-agentx-kv-c96,kv,96,hardware/n3u-agg-ns-agentx-kv-c96.json,gs://alisachen-models/perf/1789550601_alisachen-n3u-agg-ns-agentx-kv-c96/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c96_20260916_092337/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789550601_alisachen-n3u-agg-ns-agentx-kv-c96,agg,agentx-agg-kv-rr-data,agg-20260916,1789550601_alisachen-n3u-agg-ns-agentx-kv-c96,False,False,6843.880810963666,75.10970041208905,1.9065568234288357,70222.0,423.0,5.357950530349997,16.103767276794642,23.47700212661752,79.19202693348505,6978,0,24,n3u-agg-ns,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs,0.6701606819999999,12.18676368489999,True,e708f0863767,11.869811862790698,7562.219999999994,29.50299271411385,33.89486652049413,47.828926136249954,6978,0,True,True,True,request-metrics/n3u-agg-ns-agentx-kv-c96.csv.gz,5b51a30c2541899359a9875994a3563546662e5d5f84a62442b978a44dd5e938,91,0,0.0,,,,,,,,False,True,4.0,164253.13946312797,1802.6328098901372
1789895318_alisachen-n3u-agg-ns-agentx-kv-c160,kv,160,hardware/1789895318_alisachen-n3u-agg-ns-agentx-kv-c160.json,gs://alisachen-models/perf/1789895318_alisachen-n3u-agg-ns-agentx-kv-c160/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c160_20260920_090854/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789895318_alisachen-n3u-agg-ns-agentx-kv-c160,agg,agentx-serving-perf-data,agg-slo10-20260920,1789895318_alisachen-n3u-agg-ns-agentx-kv-c160,True,True,8755.497518356227,93.99868632365718,2.439235669993486,71533.5,400.0,9.574908329199987,26.260292992955097,43.379105777131734,74.8249813789786,8952,3,24,n3u-agg-ns,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs,1.147152288,15.915869331459987,True,7640ce6feda7,20.7915295,8679.529999999979,16.12671752953139,62.00889909361846,85.60404533499978,8952,0,True,False,False,request-metrics/1789895318_alisachen-n3u-agg-ns-agentx-kv-c160.csv.gz,f7379c5f27a87f5002a242ee526a3d0de8ec76cbb86d7789d606f2e02f0917cc,158,0,0.03350083752093802,1491.734685184,60.500767607425196,118,1.4292293409999999,0.927447998,209,10.0,False,False,6.666666666666667,210131.94044054946,2255.9684717677724
n3u-agg-ns-agentx-kv-c192,kv,192,hardware/n3u-agg-ns-agentx-kv-c192.json,gs://alisachen-models/perf/1789555981_alisachen-n3u-agg-ns-agentx-kv-c192/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c192_20260916_105318/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789555981_alisachen-n3u-agg-ns-agentx-kv-c192,agg,agentx-serving-perf-data,agg-20260916,1789555981_alisachen-n3u-agg-ns-agentx-kv-c192,False,False,9654.845403825839,96.80592651877136,2.593730234677929,73637.0,388.0,11.65726274620001,30.605941456514323,50.598490402769634,74.38365790099185,9519,3,24,n3u-agg-ns,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs,1.5563670239999998,17.407164796079993,True,eab78ed17c62,23.85452343548116,8136.87999999999,13.536680071673597,73.87335703475526,102.10048510200001,9519,0,False,False,False,request-metrics/n3u-agg-ns-agentx-kv-c192.csv.gz,38f7c8fea507a6949158039ceb518f3d85d321a7d2ec9c93f8e512da41b5d456,185,0,0.0315059861373661,1634.833346254,74.49196260597631,116,1.63070551,1.130216143,240,11.0,False,False,8.0,231716.28969182013,2323.3422364505127
1789856222_alisachen-n3u-agg-ns-agentx-kv-c192,kv,192,hardware/1789856222_alisachen-n3u-agg-ns-agentx-kv-c192.json,gs://alisachen-models/perf/1789856222_alisachen-n3u-agg-ns-agentx-kv-c192/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c192_20260919_221721/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789856222_alisachen-n3u-agg-ns-agentx-kv-c192,agg,agentx-serving-perf-data,agg-np2-20260919,1789856222_alisachen-n3u-agg-ns-agentx-kv-c192,True,False,9468.385849384316,95.42455876641542,2.5588544095019845,73187.0,388.0,11.1791156295,33.46768950654317,52.998038287143096,72.86269242004813,9391,3,24,n3u-agg-ns,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs,1.6561264839999998,17.010266271800006,True,e9402a62feed,25.1022699273259,8112.400000000012,12.931032771967514,77.33334356462586,103.86971776749999,9391,0,False,False,False,request-metrics/1789856222_alisachen-n3u-agg-ns-agentx-kv-c192.csv.gz,b7e9e09b7ea03bb02bbe061b470846250d70b187a507c9bcfe9d1488c34caa99,185,0,0.03193527783691718,1631.641085592,75.54775486014653,112,1.838681376,1.1140360779999998,239,11.0,False,False,8.0,227241.2603852236,2290.18941039397
n3u-agg-ns-agentx-kv-c384,kv,384,hardware/n3u-agg-ns-agentx-kv-c384.json,gs://alisachen-models/perf/1789562076_alisachen-n3u-agg-ns-agentx-kv-c384/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c384_20260916_123454/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789562076_alisachen-n3u-agg-ns-agentx-kv-c384,agg,agentx-agg-kv-rr-data,agg-20260916,1789562076_alisachen-n3u-agg-ns-agentx-kv-c384,False,False,8257.49339510182,77.74037906153164,2.198634579981075,75736.0,383.0,119.43931245299999,46.989748957394234,79.05453162962718,60.8059379427452,8069,7,24,n3u-agg-ns,--router-mode kv --router-temperature 0.0 --router-queue-policy fcfs,82.846330389,134.12339993791997,True,1b7935db42a8,40.30993463126843,7290.679999999986,1.1371830244311,879.3659230890042,229.54212504679992,8069,0,False,False,False,request-metrics/n3u-agg-ns-agentx-kv-c384.csv.gz,f73c7c92df61b8e8639fcde1417082767f64a648dc66d4623413dce911fae74e,349,0,0.0866765725606736,,,,,,,,True,False,16.0,198179.84148244368,1865.7690974767593
n3u-agg-ns2-agentx-rr-c48,rr,48,hardware/n3u-agg-ns2-agentx-rr-c48.json,gs://alisachen-models/perf/1789550745_alisachen-n3u-agg-ns2-agentx-rr-c48/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c48_20260916_092603/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789550745_alisachen-n3u-agg-ns2-agentx-rr-c48,agg,agentx-agg-kv-rr-data,agg-20260916,1789550745_alisachen-n3u-agg-ns2-agentx-rr-c48,False,False,3250.084808233436,31.324331101422217,0.7581965129781321,85200.0,375.0,8.271755809899995,9.312629222436396,10.973553954248855,74.11159579333085,2775,0,24,n3u-agg-ns2,--router-mode round-robin,0.7897455739999999,15.322043127319999,True,13d4f1744dbd,7.507802078313253,7859.939999999971,40.534940066621154,24.67007471471405,39.88388018199996,2775,0,True,True,True,request-metrics/n3u-agg-ns2-agentx-rr-c48.csv.gz,3d55d30f50e384e308e10b769b188db2f5d0ee6bf964e6e5f90a9fe622cc887f,46,0,0.0,,,,,,,,False,True,2.0,78002.03539760246,751.7839464341332
1789895323_alisachen-n3u-agg-ns2-agentx-rr-c64,rr,64,hardware/1789895323_alisachen-n3u-agg-ns2-agentx-rr-c64.json,gs://alisachen-models/perf/1789895323_alisachen-n3u-agg-ns2-agentx-rr-c64/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c64_20260920_090856/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789895323_alisachen-n3u-agg-ns2-agentx-rr-c64,agg,agentx-serving-perf-data,agg-slo10-20260920,1789895323_alisachen-n3u-agg-ns2-agentx-rr-c64,True,True,3910.4535367973513,42.88217862956942,1.0215843118466001,75993.0,424.0,9.211556509100001,10.942899905208817,13.678641262881607,71.16203044287862,3739,0,24,n3u-agg-ns2,--router-mode round-robin,0.738485023,15.695320949359996,True,f187408f06b8,8.57264168844221,8302.699999999975,35.3472388900058,28.29075286790628,45.6907587514,3739,0,True,True,True,request-metrics/1789895323_alisachen-n3u-agg-ns2-agentx-rr-c64.csv.gz,9693ff5a023a6a3ed4fdb0cecce6fe1e7408ff3eba8c25ce8fbc6cd662b05921,62,0,0.0,860.732208263,13.15167545310071,29,0.796918736,0.6449567939999999,93,11.0,False,True,2.6666666666666665,93850.88488313643,1029.172287109666
n3u-agg-ns2-agentx-rr-c96,rr,96,hardware/n3u-agg-ns2-agentx-rr-c96.json,gs://alisachen-models/perf/1789555623_alisachen-n3u-agg-ns2-agentx-rr-c96/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c96_20260916_104719/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789555623_alisachen-n3u-agg-ns2-agentx-rr-c96,agg,agentx-agg-kv-rr-data,agg-20260916,1789555623_alisachen-n3u-agg-ns2-agentx-rr-c96,False,False,6137.320473879631,67.11020337655773,1.7474110638031493,68825.0,411.0,12.557413355399982,19.466066356730504,29.591078272281962,69.7303118854385,6413,0,24,n3u-agg-ns2,--router-mode round-robin,0.811374185,19.769793902680007,True,6f6efc4b908d,12.117948179516686,7457.3200000000015,17.72597782640481,56.414377237366786,68.93237231379999,6413,0,False,False,False,request-metrics/n3u-agg-ns2-agentx-rr-c96.csv.gz,45f1823e6a0f026d27697f568600d49f4995e8bc9ecb71025f40af0e908885b7,91,0,0.0,,,,,,,,False,False,4.0,147295.69137311116,1610.6448810373856
n3u-agg-ns2-agentx-rr-c192,rr,192,hardware/n3u-agg-ns2-agentx-rr-c192.json,gs://alisachen-models/perf/1789560983_alisachen-n3u-agg-ns2-agentx-rr-c192/Nemotron-3-Ultra-550B-A55B-NVFP4_trace_c192_20260916_121640/profile_export_aiperf.json,https://console.cloud.google.com/storage/browser/alisachen-models/perf/1789560983_alisachen-n3u-agg-ns2-agentx-rr-c192,agg,agentx-agg-kv-rr-data,agg-20260916,1789560983_alisachen-n3u-agg-ns2-agentx-rr-c192,False,False,6802.289469097507,71.37809353845007,1.9634866387349532,66082.0,392.0,60.081522396249994,48.19882407837417,81.96600093503334,56.171456051053056,7206,3,24,n3u-agg-ns2,--router-mode round-robin,10.8705291825,90.05882953444996,True,0e8eaffb64d4,30.531782645776566,7784.3999999999905,3.8961262229768185,256.66519583032255,155.64784825750002,7206,0,False,False,False,request-metrics/n3u-agg-ns2-agentx-rr-c192.csv.gz,c2c6d6ca792bc4af8987723a231e4a9f0092291bfeeba999b717605461a5d143,185,0,0.04161464835622139,,,,,,,,False,False,8.0,163254.94725834017,1713.0742449228019
